ticker_yf,cluster
AAPL,Technology
MSFT,Technology
AMZN,Technology
META,Technology
GOOGL,Technology
GOOG,Technology
NFLX,Technology
SPOT,Technology
HUBS,Technology
TEAM,Technology
DDOG,Technology
CDNS,Technology
SNOW,Technology
PATH,Technology
DUOL,Technology
RBLX,Technology
ADBE,Technology
INTU,Technology
CRM,Technology
ORCL,Technology
DBX,Technology
DOCN,Technology
GWRE,Technology
NICE,Technology
SNAP,Technology
RDDT,Technology
NVDA,Semiconductors
AMD,Semiconductors
AVGO,Semiconductors
TSM,Semiconductors
ASML,Semiconductors
AMAT,Semiconductors
KLAC,Semiconductors
QCOM,Semiconductors
MU,Semiconductors
CAMT,Semiconductors
AMKR,Semiconductors
ONTO,Semiconductors
RMBS,Semiconductors
SMCI,Semiconductors
VRT,Semiconductors
FSLR,Semiconductors
GLW,Semiconductors
NVTS,Semiconductors
POET,Semiconductors
POWL,Semiconductors
JPM,Financials
BAC,Financials
COF,Financials
SCHW,Financials
STT,Financials
HOOD,Financials
SOFI,Financials
KEY,Financials
HBAN,Financials
PYPL,Financials
MAIN,Financials
OWL,Financials
PGR,Insurance
WRB,Insurance
LLY,Pharma_Biotech
NVO,Pharma_Biotech
MRNA,Pharma_Biotech
CRSP,Pharma_Biotech
BEAM,Pharma_Biotech
RXRX,Pharma_Biotech
TMDX,Pharma_Biotech
BSX,Pharma_Biotech
ANAB,Pharma_Biotech
IBRX,Pharma_Biotech
RARE,Pharma_Biotech
TNGX,Pharma_Biotech
TWST,Pharma_Biotech
STAA,Pharma_Biotech
QDEL,Pharma_Biotech
NEOG,Pharma_Biotech
DVA,Healthcare
ACHC,Healthcare
CVS,Healthcare
HIMS,Healthcare
RTX,Defense_Aerospace
LMT,Defense_Aerospace
NOC,Defense_Aerospace
KTOS,Defense_Aerospace
AVAV,Defense_Aerospace
RKLB,Defense_Aerospace
JOBY,Defense_Aerospace
LUNR,Defense_Aerospace
ACHR,Defense_Aerospace
ASTS,Defense_Aerospace
BKSY,Defense_Aerospace
LOAR,Defense_Aerospace
OSK,Defense_Aerospace
XOM,Energy
RIO,Energy
NUE,Energy
LEU,Energy
UEC,Energy
UUUU,Energy
DNN,Energy
NOG,Energy
HBM,Energy
LAC,Energy
TMC,Energy
AGI,Energy
CDE,Energy
HYMC,Energy
AMR,Energy
IONQ,Quantum_Computing
QBTS,Quantum_Computing
AIAI.L,AI_Robotics
RBOT,AI_Robotics
RCAT,AI_Robotics
SOUN,AI_Robotics
BBAI,AI_Robotics
PLTR,AI_Robotics
TSLA,Electric_Vehicles
LCID,Electric_Vehicles
BYD,Electric_Vehicles
ENVX,Electric_Vehicles
ABAT,Electric_Vehicles
AMPX,Electric_Vehicles
AUR,Electric_Vehicles
ETN,Industrials
FIX,Industrials
MAN,Industrials
CNH,Industrials
MWA,Industrials
PRIM,Industrials
CBT,Industrials
SSD,Industrials
UPS,Industrials
SERV,Industrials
VICI,REITs
PSA,REITs
ADC,REITs
OPEN,REITs
REAL,REITs
DTE,Utilities
CMS,Utilities
PPL,Utilities
NEE,Utilities
TKO,Entertainment
FUN,Entertainment
MTN,Entertainment
SPHR,Entertainment
PRKS,Entertainment
CAR,Travel_Leisure
TRIP,Travel_Leisure
VAC,Travel_Leisure
PK,Travel_Leisure
HTZ,Travel_Leisure
DRI,Restaurants
TOST,Restaurants
CBRL,Restaurants
WEN,Restaurants
BABA,China_Tech
APP,Software
RBRK,Software
GO,Retail
KSS,Retail
AAP,Retail
TAP,Consumer_Goods
RSI,Gaming
MSTR,Crypto
IREN,Crypto
HIVE,Crypto
OKLO,Nuclear
TPL,Real_Assets
QXO,Logistics
TDS,Telecom
TWO,Mortgage_REITs
UPST,Fintech
ASPI,Specialty
ASST,Specialty
CETX,Specialty
FLNC,Energy_Storage
EOSE,Energy_Storage
ARRY,Energy_Storage
RUN,Solar
ONDS,Specialty
SKYT,Specialty
SIDU,Specialty
SLS,Specialty
SMX,Specialty
LAES,Specialty
ALMS,Specialty
ODD,Specialty
NBIS,Specialty
UMAC,Specialty
VERO,Specialty
WBD,Media
YOU,Specialty
ZBIO,Biotech
ZETA,Software
VSAT,Telecom
DJT,Media
APLD,Data_Centers
CRWV,AI_Robotics
RZLV,SPAC
VUSA.L,ETF_Broad_Market
VUAG.L,ETF_Broad_Market
EQQQ.L,ETF_Broad_Market
CNDX,ETF_Broad_Market
IWMO,ETF_Factor
IWQU.L,ETF_Factor
WSML,ETF_Small_Cap
VAGS.L,ETF_Fixed_Income
INRG.L,ETF_Energy
EIMI,ETF_Emerging_Markets
VWO,ETF_Emerging_Markets
BTEE.L,ETF_Thematic
AACI,SPAC
IPOE,SPAC
SPXL,ETF_Leveraged
VWRL,ETF_Broad_Market
ABBV,Pharma_Biotech
ALV,Industrials
AZN,Pharma_Biotech
BLK,Financials
CAT,Industrials
CL,Consumer_Staples
CME,Financials
COP,Energy
COST,Retail
CVX,Energy
DE,Industrials
DGE.L,Consumer_Staples
GSK,Pharma_Biotech
HD,Retail
HON,Industrials
HSBA,Financials
ICE,Financials
ISRG,Healthcare
JNJ,Pharma_Biotech
KO,Consumer_Staples
LGEN.L,Financials
LIN,Industrials
MA,Financials
MC,Consumer_Goods
MCO,Financials
NESN.SW,Consumer_Staples
NG,Utilities
NOVN.SW,Pharma_Biotech
OR,Consumer_Goods
PEP,Consumer_Staples
PG,Consumer_Staples
REL.L,Financials
ROG,Pharma_Biotech
SAP,Technology
SHEL,Energy
SIE.DE,Industrials
SLB,Energy
SPGI,Financials
SSE,Utilities
SU,Energy
TMO,Pharma_Biotech
TMUS,Telecom
TTE,Energy
ULVR.L,Consumer_Staples
UNH,Healthcare
UNP,Industrials
V,Financials
WM,Industrials
WMT,Retail
MSCI,Financials
SGLN,Commodities
REMX,Materials
PICK,Materials
CMOD,Commodities
COMF,Commodities
MP,Materials
FCX,Materials
MT,Materials
LSEG.L,Financials
BA.L,Defense_Aerospace
EXPN.L,Technology
LLOY.L,Financials
CPG.L,Consumer_Goods
CMOD.L,Commodities
COMF.L,Commodities

# New additions Jan 2026
NOW,Technology
PANW,Technology
CRWD,Technology
ZS,Technology
FTNT,Technology
WDAY,Technology
VEEV,Technology
ANSS,Technology
SNPS,Technology
MRVL,Semiconductors
ON,Semiconductors
GFS,Semiconductors
ANET,Technology
NET,Technology
MDB,Technology
DKNG,Consumer_Discretionary
VRTX,Healthcare
REGN,Healthcare
GILD,Healthcare
AMGN,Healthcare
BMY,Healthcare
MDT,Healthcare
DHR,Healthcare
ZTS,Healthcare
IDXX,Healthcare
DXCM,Healthcare
ELV,Healthcare
GS,Financials
MS,Financials
AXP,Financials
TFC,Financials
PNC,Financials
USB,Financials
AIG,Financials
MET,Financials
PRU,Financials
TRV,Financials
CB,Financials
AON,Financials
MMC,Financials
GE,Industrials
GD,Industrials
HII,Industrials
TXT,Industrials
TDG,Industrials
PWR,Industrials
FAST,Industrials
EMR,Industrials
ITW,Industrials
PH,Industrials
ROK,Industrials
NKE,Consumer_Discretionary
SBUX,Consumer_Discretionary
MCD,Consumer_Discretionary
YUM,Consumer_Discretionary
CMG,Consumer_Discretionary
LULU,Consumer_Discretionary
TJX,Consumer_Discretionary
ROST,Consumer_Discretionary
DG,Consumer_Discretionary
DLTR,Consumer_Discretionary
ORLY,Consumer_Discretionary
